Model,DPO4032
Firmware Version,2.30

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.4
Sample Interval,0.0004
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,-0.113
Vertical Scale,0.01
Label,
TIME,CH1
-1.1520e-01,-0.112778
-1.1480e-01,-0.113766
-1.1440e-01,-0.113002
-1.1400e-01,-0.113495
-1.1360e-01,-0.113133
-1.1320e-01,-0.112322
-1.1280e-01,-0.112691
-1.1240e-01,-0.112703
-1.1200e-01,-0.112936
-1.1160e-01,-0.112855
-1.1120e-01,-0.112888
-1.1080e-01,-0.112798
-1.1040e-01,-0.113458
-1.1000e-01,-0.113191
-1.0960e-01,-0.112516
-1.0920e-01,-0.112595
-1.0880e-01,-0.112873
-1.0840e-01,-0.112928
-1.0800e-01,-0.112447
-1.0760e-01,-0.112669
-1.0720e-01,-0.1131
-1.0680e-01,-0.112852
-1.0640e-01,-0.112708
-1.0600e-01,-0.111623
-1.0560e-01,-0.112711
-1.0520e-01,-0.112627
-1.0480e-01,-0.11243
-1.0440e-01,-0.11252
-1.0400e-01,-0.11328
-1.0360e-01,-0.113416
-1.0320e-01,-0.112606
-1.0280e-01,-0.112741
-1.0240e-01,-0.112767
-1.0200e-01,-0.113048
-1.0160e-01,-0.112711
-1.0120e-01,-0.113316
-1.0080e-01,-0.112661
-1.0040e-01,-0.112127
-1.0000e-01,-0.112247
-9.9600e-02,-0.113241
-9.9200e-02,-0.112441
-9.8800e-02,-0.113138
-9.8400e-02,-0.113064
-9.8000e-02,-0.113036
-9.7600e-02,-0.113047
-9.7200e-02,-0.11267
-9.6800e-02,-0.11293
-9.6400e-02,-0.112638
-9.6000e-02,-0.112752
-9.5600e-02,-0.112741
-9.5200e-02,-0.113178
-9.4800e-02,-0.112798
-9.4400e-02,-0.112822
-9.4000e-02,-0.113392
-9.3600e-02,-0.113003
-9.3200e-02,-0.112998
-9.2800e-02,-0.111531
-9.2400e-02,-0.112575
-9.2000e-02,-0.113069
-9.1600e-02,-0.112919
-9.1200e-02,-0.113078
-9.0800e-02,-0.113136
-9.0400e-02,-0.112552
-9.0000e-02,-0.112761
-8.9600e-02,-0.112841
-8.9200e-02,-0.112619
-8.8800e-02,-0.112766
-8.8400e-02,-0.112764
-8.8000e-02,-0.112442
-8.7600e-02,-0.112277
-8.7200e-02,-0.112475
-8.6800e-02,-0.112678
-8.6400e-02,-0.1127
-8.6000e-02,-0.112206
-8.5600e-02,-0.112641
-8.5200e-02,-0.112514
-8.4800e-02,-0.112433
-8.4400e-02,-0.112606
-8.4000e-02,-0.11243
-8.3600e-02,-0.112572
-8.3200e-02,-0.112405
-8.2800e-02,-0.112645
-8.2400e-02,-0.112238
-8.2000e-02,-0.113195
-8.1600e-02,-0.11293
-8.1200e-02,-0.113189
-8.0800e-02,-0.112452
-8.0400e-02,-0.11263
-8.0000e-02,-0.11285
-7.9600e-02,-0.112486
-7.9200e-02,-0.113253
-7.8800e-02,-0.11235
-7.8400e-02,-0.112655
-7.8000e-02,-0.112434
-7.7600e-02,-0.113147
-7.7200e-02,-0.112545
-7.6800e-02,-0.112963
-7.6400e-02,-0.113397
-7.6000e-02,-0.112044
-7.5600e-02,-0.113511
-7.5200e-02,-0.112766
-7.4800e-02,-0.112733
-7.4400e-02,-0.11238
-7.4000e-02,-0.113158
-7.3600e-02,-0.113241
-7.3200e-02,-0.113039
-7.2800e-02,-0.113605
-7.2400e-02,-0.113162
-7.2000e-02,-0.112548
-7.1600e-02,-0.112517
-7.1200e-02,-0.112344
-7.0800e-02,-0.112077
-7.0400e-02,-0.112706
-7.0000e-02,-0.112766
-6.9600e-02,-0.113091
-6.9200e-02,-0.113166
-6.8800e-02,-0.1129
-6.8400e-02,-0.113003
-6.8000e-02,-0.112669
-6.7600e-02,-0.112716
-6.7200e-02,-0.112914
-6.6800e-02,-0.113675
-6.6400e-02,-0.113142
-6.6000e-02,-0.112713
-6.5600e-02,-0.113555
-6.5200e-02,-0.112941
-6.4800e-02,-0.113178
-6.4400e-02,-0.112395
-6.4000e-02,-0.112148
-6.3600e-02,-0.113748
-6.3200e-02,-0.113264
-6.2800e-02,-0.113066
